Processes,Size,Algorithm,Latency(us)
2,2,Default,0.16
2,4,Default,0.16
2,8,Default,0.16
2,16,Default,0.16
2,32,Default,0.16
2,64,Default,0.17
2,128,Default,0.2
2,256,Default,0.2
2,512,Default,0.22
2,1024,Default,0.25
2,2048,Default,0.29
2,4096,Default,0.35
2,8192,Default,0.41
2,16384,Default,4.84
2,32768,Default,4.7
2,65536,Default,6.3
2,131072,Default,9.87
2,262144,Default,19.72
2,524288,Default,49.32
2,1048576,Default,100.28
4,2,Default,0.18
4,4,Default,0.18
4,8,Default,0.17
4,16,Default,0.18
4,32,Default,0.19
4,64,Default,0.18
4,128,Default,0.27
4,256,Default,0.3
4,512,Default,0.34
4,1024,Default,0.38
4,2048,Default,0.47
4,4096,Default,0.59
4,8192,Default,0.78
4,16384,Default,7.14
4,32768,Default,9.25
4,65536,Default,11.85
4,131072,Default,20.7
4,262144,Default,76.47
4,524288,Default,135.07
4,1048576,Default,222.2
8,2,Default,0.8
8,4,Default,0.8
8,8,Default,0.81
8,16,Default,0.85
8,32,Default,0.92
8,64,Default,0.77
8,128,Default,1.23
8,256,Default,1.34
8,512,Default,1.34
8,1024,Default,1.49
8,2048,Default,1.89
8,4096,Default,3.03
8,8192,Default,4.62
8,16384,Default,10.96
8,32768,Default,21.19
8,65536,Default,33.11
8,131072,Default,54.91
8,262144,Default,149.06
8,524288,Default,341.26
8,1048576,Default,718.78
16,2,Default,1.11
16,4,Default,1.13
16,8,Default,1.14
16,16,Default,1.14
16,32,Default,1.24
16,64,Default,1.51
16,128,Default,1.89
16,256,Default,1.92
16,512,Default,1.9
16,1024,Default,2.28
16,2048,Default,3.0
16,4096,Default,5.32
16,8192,Default,11.36
16,16384,Default,16.94
16,32768,Default,31.24
16,65536,Default,58.08
16,131072,Default,120.06
16,262144,Default,240.42
16,524288,Default,465.61
16,1048576,Default,1460.18
32,2,Default,1.56
32,4,Default,1.81
32,8,Default,1.48
32,16,Default,1.7
32,32,Default,1.65
32,64,Default,1.74
32,128,Default,2.52
32,256,Default,2.52
32,512,Default,2.62
32,1024,Default,3.17
32,2048,Default,4.0
32,4096,Default,5.61
32,8192,Default,8.59
32,16384,Default,15.12
32,32768,Default,27.1
32,65536,Default,50.69
32,131072,Default,94.47
32,262144,Default,229.32
32,524288,Default,511.96
32,1048576,Default,859.62
64,2,Default,1.92
64,4,Default,1.83
64,8,Default,1.97
64,16,Default,1.46
64,32,Default,1.93
64,64,Default,1.93
64,128,Default,2.81
64,256,Default,2.83
64,512,Default,2.92
64,1024,Default,3.56
64,2048,Default,4.83
64,4096,Default,6.75
64,8192,Default,11.01
64,16384,Default,18.25
64,32768,Default,33.83
64,65536,Default,71.49
64,131072,Default,151.21
64,262144,Default,317.78
64,524288,Default,652.44
64,1048576,Default,1067.33
128,2,Default,4.19
128,4,Default,3.73
128,8,Default,3.77
128,16,Default,3.76
128,32,Default,4.0
128,64,Default,3.96
128,128,Default,5.86
128,256,Default,6.12
128,512,Default,6.04
128,1024,Default,6.59
128,2048,Default,10.01
128,4096,Default,18.05
128,8192,Default,35.24
128,16384,Default,108.5
128,32768,Default,159.72
128,65536,Default,109.45
128,131072,Default,243.54
128,262144,Default,507.89
128,524288,Default,1103.9
128,1048576,Default,1632.34
256,2,Default,1.05
256,4,Default,1.14
256,8,Default,1.16
256,16,Default,1.24
256,32,Default,1.58
256,64,Default,1.64
256,128,Default,2.72
256,256,Default,2.76
256,512,Default,4.83
256,1024,Default,5.46
256,2048,Default,7.37
256,4096,Default,10.33
256,8192,Default,16.59
256,16384,Default,68.01
256,32768,Default,46.07
256,65536,Default,84.7
256,131072,Default,197.57
256,262144,Default,418.45
256,524288,Default,931.83
256,1048576,Default,1590.12
2,2,Basic Linear,0.15
2,4,Basic Linear,0.16
2,8,Basic Linear,0.15
2,16,Basic Linear,0.16
2,32,Basic Linear,0.15
2,64,Basic Linear,0.15
2,128,Basic Linear,0.19
2,256,Basic Linear,0.2
2,512,Basic Linear,0.22
2,1024,Basic Linear,0.25
2,2048,Basic Linear,0.3
2,4096,Basic Linear,0.33
2,8192,Basic Linear,0.41
2,16384,Basic Linear,4.86
2,32768,Basic Linear,5.07
2,65536,Basic Linear,6.41
2,131072,Basic Linear,10.79
2,262144,Basic Linear,19.72
2,524288,Basic Linear,43.63
2,1048576,Basic Linear,93.81
4,2,Basic Linear,0.13
4,4,Basic Linear,0.14
4,8,Basic Linear,0.13
4,16,Basic Linear,0.13
4,32,Basic Linear,0.13
4,64,Basic Linear,0.13
4,128,Basic Linear,0.27
4,256,Basic Linear,0.26
4,512,Basic Linear,0.3
4,1024,Basic Linear,0.34
4,2048,Basic Linear,0.47
4,4096,Basic Linear,0.56
4,8192,Basic Linear,0.8
4,16384,Basic Linear,7.16
4,32768,Basic Linear,10.58
4,65536,Basic Linear,11.48
4,131072,Basic Linear,22.32
4,262144,Basic Linear,67.22
4,524288,Basic Linear,142.59
4,1048576,Basic Linear,316.87
8,2,Basic Linear,0.86
8,4,Basic Linear,0.89
8,8,Basic Linear,0.91
8,16,Basic Linear,0.96
8,32,Basic Linear,0.93
8,64,Basic Linear,1.05
8,128,Basic Linear,1.56
8,256,Basic Linear,1.42
8,512,Basic Linear,1.59
8,1024,Basic Linear,1.81
8,2048,Basic Linear,2.41
8,4096,Basic Linear,3.34
8,8192,Basic Linear,4.62
8,16384,Basic Linear,16.46
8,32768,Basic Linear,21.53
8,65536,Basic Linear,33.16
8,131072,Basic Linear,53.1
8,262144,Basic Linear,144.96
8,524288,Basic Linear,342.2
8,1048576,Basic Linear,731.12
16,2,Basic Linear,1.6
16,4,Basic Linear,1.6
16,8,Basic Linear,1.57
16,16,Basic Linear,1.69
16,32,Basic Linear,1.75
16,64,Basic Linear,1.73
16,128,Basic Linear,3.3
16,256,Basic Linear,3.21
16,512,Basic Linear,3.24
16,1024,Basic Linear,3.97
16,2048,Basic Linear,5.4
16,4096,Basic Linear,8.31
16,8192,Basic Linear,13.21
16,16384,Basic Linear,10.47
16,32768,Basic Linear,22.32
16,65536,Basic Linear,48.4
16,131072,Basic Linear,107.81
16,262144,Basic Linear,237.85
16,524288,Basic Linear,404.41
16,1048576,Basic Linear,916.2
32,2,Basic Linear,3.13
32,4,Basic Linear,3.36
32,8,Basic Linear,3.22
32,16,Basic Linear,3.35
32,32,Basic Linear,3.36
32,64,Basic Linear,3.41
32,128,Basic Linear,7.1
32,256,Basic Linear,7.07
32,512,Basic Linear,7.29
32,1024,Basic Linear,8.75
32,2048,Basic Linear,12.33
32,4096,Basic Linear,17.81
32,8192,Basic Linear,26.89
32,16384,Basic Linear,23.36
32,32768,Basic Linear,52.66
32,65536,Basic Linear,102.91
32,131072,Basic Linear,232.01
32,262144,Basic Linear,461.31
32,524288,Basic Linear,941.41
32,1048576,Basic Linear,1727.37
64,2,Basic Linear,4.98
64,4,Basic Linear,5.14
