Processes,Size,Algorithm,Latency(us)
2,2,Default,0.39
2,4,Default,0.39
2,8,Default,0.15
2,16,Default,0.15
2,32,Default,0.14
2,64,Default,0.14
2,128,Default,0.19
2,256,Default,0.19
2,512,Default,0.22
2,1024,Default,0.25
2,2048,Default,0.3
2,4096,Default,0.36
2,8192,Default,0.48
2,16384,Default,0.86
2,32768,Default,1.67
2,65536,Default,3.07
2,131072,Default,5.72
2,262144,Default,31.68
2,524288,Default,57.69
2,1048576,Default,114.28
4,2,Default,0.27
4,4,Default,0.26
4,8,Default,0.27
4,16,Default,0.25
4,32,Default,0.27
4,64,Default,0.27
4,128,Default,0.35
4,256,Default,0.38
4,512,Default,0.39
4,1024,Default,0.43
4,2048,Default,0.56
4,4096,Default,1.06
4,8192,Default,1.55
4,16384,Default,2.89
4,32768,Default,5.15
4,65536,Default,5.54
4,131072,Default,10.63
4,262144,Default,64.95
4,524288,Default,300.61
4,1048576,Default,294.58
8,2,Default,0.65
8,4,Default,0.64
8,8,Default,0.59
8,16,Default,0.65
8,32,Default,0.74
8,64,Default,0.69
8,128,Default,0.95
8,256,Default,0.97
8,512,Default,1.05
8,1024,Default,1.24
8,2048,Default,1.66
8,4096,Default,3.01
8,8192,Default,1.69
8,16384,Default,2.97
8,32768,Default,5.36
8,65536,Default,9.79
8,131072,Default,18.03
8,262144,Default,82.0
8,524288,Default,295.92
8,1048576,Default,1360.14
16,2,Default,0.79
16,4,Default,0.77
16,8,Default,0.77
16,16,Default,0.77
16,32,Default,0.91
16,64,Default,0.9
16,128,Default,1.18
16,256,Default,1.22
16,512,Default,1.34
16,1024,Default,1.69
16,2048,Default,2.46
16,4096,Default,1.4
16,8192,Default,1.94
16,16384,Default,3.59
16,32768,Default,6.76
16,65536,Default,12.94
16,131072,Default,24.52
16,262144,Default,118.49
16,524288,Default,354.76
16,1048576,Default,826.13
32,2,Default,0.61
32,4,Default,0.63
32,8,Default,0.72
32,16,Default,0.65
32,32,Default,0.74
32,64,Default,0.68
32,128,Default,0.82
32,256,Default,0.82
32,512,Default,0.84
32,1024,Default,0.96
