Processes,Size,Algorithm,Latency(us)
2,2,2,0.16
2,4,2,0.17
2,8,2,0.16
2,16,2,0.16
2,32,2,0.16
2,64,2,0.16
2,128,2,0.25
2,256,2,0.28
2,512,2,0.23
2,1024,2,0.28
2,2048,2,0.33
2,4096,2,0.43
2,8192,2,0.48
2,16384,2,5.70
2,32768,2,5.54
2,65536,2,6.10
2,131072,2,9.12
2,262144,2,19.93
2,524288,2,44.81
2,1048576,2,90.31
4,2,2,0.15
4,4,2,0.15
4,8,2,0.16
4,16,2,0.15
4,32,2,0.18
4,64,2,0.16
4,128,2,0.35
4,256,2,0.33
4,512,2,0.32
4,1024,2,0.39
4,2048,2,0.52
4,4096,2,0.69
4,8192,2,0.95
4,16384,2,2.79
4,32768,2,5.47
4,65536,2,8.35
4,131072,2,14.03
4,262144,2,25.74
4,524288,2,64.55
4,1048576,2,129.46
8,2,2,0.77
8,4,2,0.82
8,8,2,0.84
8,16,2,0.84
8,32,2,0.89
8,64,2,0.91
8,128,2,1.29
8,256,2,1.32
8,512,2,1.24
8,1024,2,1.52
8,2048,2,1.92
8,4096,2,2.47
8,8192,2,4.08
8,16384,2,6.75
8,32768,2,12.79
8,65536,2,26.00
8,131072,2,42.50
8,262144,2,81.00
8,524288,2,184.12
8,1048576,2,333.57
16,2,2,1.10
16,4,2,1.13
16,8,2,1.12
16,16,2,1.11
16,32,2,1.24
16,64,2,1.25
16,128,2,2.73
16,256,2,1.97
16,512,2,2.09
16,1024,2,2.54
16,2048,2,3.33
16,4096,2,4.91
16,8192,2,6.74
16,16384,2,12.86
16,32768,2,22.30
16,65536,2,41.56
16,131072,2,82.37
16,262144,2,165.37
16,524288,2,380.94
16,1048576,2,796.85
32,2,2,1.79
32,4,2,1.74
32,8,2,1.75
32,16,2,1.76
32,32,2,1.92
32,64,2,1.93
32,128,2,2.94
32,256,2,2.96
32,512,2,2.86
32,1024,2,3.43
32,2048,2,4.38
32,4096,2,6.09
32,8192,2,9.01
32,16384,2,22.32
32,32768,2,36.43
32,65536,2,64.37
32,131072,2,124.98
32,262144,2,263.04
32,524288,2,569.91
32,1048576,2,980.49
64,2,2,3.14
64,4,2,3.20
64,8,2,3.22
64,16,2,3.12
64,32,2,3.89
64,64,2,3.82
64,128,2,6.69
64,256,2,4.78
64,512,2,5.19
64,1024,2,6.06
64,2048,2,7.89
64,4096,2,11.44
64,8192,2,13.85
64,16384,2,37.95
64,32768,2,64.09
64,65536,2,114.18
64,131072,2,214.41
64,262144,2,436.31
64,524288,2,926.93
64,1048576,2,1713.26
128,2,2,6.64
128,4,2,6.45
128,8,2,6.43
128,16,2,6.79
128,32,2,7.59
128,64,2,7.91
128,128,2,11.95
128,256,2,9.84
128,512,2,9.62
128,1024,2,11.34
128,2048,2,13.15
128,4096,2,18.84
128,8192,2,25.71
128,16384,2,75.70
128,32768,2,123.50
128,65536,2,213.44
128,131072,2,405.42
128,262144,2,837.64
128,524288,2,1648.92
128,1048576,2,3298.42
256,2,2,6.72
256,4,2,6.70
256,8,2,7.00
256,16,2,6.90
256,32,2,8.48
256,64,2,8.14
256,128,2,14.22
256,256,2,11.60
256,512,2,14.38
256,1024,2,17.31
256,2048,2,22.62
256,4096,2,31.02
256,8192,2,42.61
256,16384,2,128.47
256,32768,2,203.06
256,65536,2,355.56
256,131072,2,679.48
256,262144,2,1372.94
256,524288,2,2827.74
256,1048576,2,5575.00
