Processes,Size,Algorithm,Latency(us)
2,2,3,0.16
2,4,3,0.15
2,8,3,0.16
2,16,3,0.16
2,32,3,0.15
2,64,3,0.16
2,128,3,0.20
2,256,3,0.25
2,512,3,0.21
2,1024,3,0.25
2,2048,3,0.28
2,4096,3,0.34
2,8192,3,0.43
2,16384,3,4.14
2,32768,3,4.58
2,65536,3,4.80
2,131072,3,7.69
2,262144,3,11.81
2,524288,3,26.89
2,1048576,3,55.46
4,2,3,0.24
4,4,3,0.26
4,8,3,0.26
4,16,3,0.24
4,32,3,0.25
4,64,3,0.28
4,128,3,0.36
4,256,3,0.38
4,512,3,0.42
4,1024,3,0.49
4,2048,3,0.57
4,4096,3,0.71
4,8192,3,0.95
4,16384,3,5.09
4,32768,3,8.98
4,65536,3,10.55
4,131072,3,17.28
4,262144,3,36.93
4,524288,3,81.00
4,1048576,3,179.01
8,2,3,1.43
8,4,3,1.27
8,8,3,1.27
8,16,3,1.26
8,32,3,1.34
8,64,3,1.39
8,128,3,1.59
8,256,3,1.61
8,512,3,1.80
8,1024,3,2.11
8,2048,3,2.45
8,4096,3,3.08
8,8192,3,4.33
8,16384,3,14.98
8,32768,3,22.37
8,65536,3,40.21
8,131072,3,59.28
8,262144,3,117.91
8,524288,3,238.35
8,1048576,3,466.65
16,2,3,2.66
16,4,3,2.71
16,8,3,2.76
16,16,3,2.64
16,32,3,3.03
16,64,3,2.99
16,128,3,3.33
16,256,3,3.49
16,512,3,3.62
16,1024,3,4.36
16,2048,3,4.80
16,4096,3,6.23
16,8192,3,8.73
16,16384,3,30.00
16,32768,3,46.07
16,65536,3,80.21
16,131072,3,147.92
16,262144,3,298.10
16,524288,3,610.83
16,1048576,3,1147.19
32,2,3,5.49
32,4,3,5.60
32,8,3,5.47
32,16,3,5.69
32,32,3,6.50
32,64,3,6.14
32,128,3,6.73
32,256,3,6.93
32,512,3,7.29
32,1024,3,8.61
32,2048,3,9.99
32,4096,3,12.56
32,8192,3,18.25
32,16384,3,65.99
32,32768,3,93.29
32,65536,3,160.15
32,131072,3,302.32
32,262144,3,603.69
32,524288,3,1207.00
32,1048576,3,2406.50
64,2,3,11.43
64,4,3,12.38
64,8,3,11.09
64,16,3,10.82
64,32,3,13.56
64,64,3,12.40
64,128,3,14.12
64,256,3,13.63
64,512,3,16.06
64,1024,3,17.53
64,2048,3,18.84
64,4096,3,25.47
64,8192,3,36.84
64,16384,3,122.63
64,32768,3,190.87
64,65536,3,334.04
64,131072,3,635.68
64,262144,3,1252.30
64,524288,3,2519.02
64,1048576,3,5043.21
128,2,3,26.52
128,4,3,26.40
128,8,3,23.30
128,16,3,25.71
128,32,3,25.08
128,64,3,26.97
128,128,3,28.27
128,256,3,28.04
128,512,3,30.30
128,1024,3,32.98
128,2048,3,43.05
128,4096,3,55.74
128,8192,3,82.78
128,16384,3,261.63
128,32768,3,404.53
128,65536,3,700.26
128,131072,3,1335.93
128,262144,3,2557.70
128,524288,3,5055.32
128,1048576,3,9987.06
256,2,3,31.72
256,4,3,29.99
256,8,3,29.34
256,16,3,32.15
256,32,3,31.02
256,64,3,30.68
256,128,3,38.50
256,256,3,39.88
256,512,3,45.15
256,1024,3,58.21
256,2048,3,78.38
256,4096,3,96.77
256,8192,3,147.82
256,16384,3,499.70
256,32768,3,774.24
256,65536,3,1385.90
256,131072,3,2578.34
256,262144,3,5075.38
256,524288,3,10173.11
256,1048576,3,19978.68
