Processes,Size,Algorithm,Latency(us)
2,2,1,0.14
2,4,1,0.14
2,8,1,0.14
2,16,1,0.15
2,32,1,0.15
2,64,1,0.15
2,128,1,0.19
2,256,1,0.19
2,512,1,0.21
2,1024,1,0.25
2,2048,1,0.30
2,4096,1,0.38
2,8192,1,0.48
2,16384,1,0.88
2,32768,1,1.73
2,65536,1,3.23
2,131072,1,5.94
2,262144,1,21.36
2,524288,1,42.10
2,1048576,1,88.96
4,2,1,0.18
4,4,1,0.18
4,8,1,0.18
4,16,1,0.19
4,32,1,0.19
4,64,1,0.19
4,128,1,0.27
4,256,1,0.26
4,512,1,0.27
4,1024,1,0.29
4,2048,1,0.36
4,4096,1,0.44
4,8192,1,0.70
4,16384,1,1.53
4,32768,1,3.03
4,65536,1,5.43
4,131072,1,10.12
4,262144,1,55.86
4,524288,1,112.29
4,1048576,1,224.78
8,2,1,0.33
8,4,1,0.34
8,8,1,0.34
8,16,1,0.33
8,32,1,0.37
8,64,1,0.37
8,128,1,0.55
8,256,1,0.55
8,512,1,0.65
8,1024,1,0.74
8,2048,1,1.10
8,4096,1,1.79
8,8192,1,2.75
8,16384,1,5.56
8,32768,1,10.75
8,65536,1,21.54
8,131072,1,42.78
8,262144,1,212.17
8,524288,1,407.68
8,1048576,1,813.53
16,2,1,0.63
16,4,1,0.64
16,8,1,0.64
16,16,1,0.66
16,32,1,0.66
16,64,1,0.66
16,128,1,0.88
16,256,1,0.96
16,512,1,1.05
16,1024,1,1.21
16,2048,1,1.65
16,4096,1,3.19
16,8192,1,5.43
16,16384,1,11.48
16,32768,1,22.39
16,65536,1,44.43
16,131072,1,89.64
16,262144,1,293.83
16,524288,1,516.66
16,1048576,1,1035.50
32,2,1,1.15
32,4,1,1.17
32,8,1,1.17
32,16,1,1.17
32,32,1,1.19
32,64,1,1.19
32,128,1,1.42
32,256,1,1.51
32,512,1,1.58
32,1024,1,1.82
32,2048,1,3.03
32,4096,1,6.26
32,8192,1,10.84
32,16384,1,22.39
32,32768,1,44.76
32,65536,1,87.35
32,131072,1,175.67
32,262144,1,589.76
32,524288,1,1120.28
32,1048576,1,2304.64
64,2,1,2.42
64,4,1,2.42
64,8,1,2.42
64,16,1,2.43
64,32,1,2.46
64,64,1,2.46
64,128,1,2.66
64,256,1,2.72
64,512,1,2.79
64,1024,1,3.07
64,2048,1,5.97
64,4096,1,12.35
64,8192,1,24.85
64,16384,1,50.08
64,32768,1,102.73
64,65536,1,179.10
64,131072,1,445.11
64,262144,1,1301.23
64,524288,1,2604.48
64,1048576,1,5039.74
128,2,1,5.89
128,4,1,6.48
128,8,1,6.40
128,16,1,6.53
128,32,1,6.22
128,64,1,6.24
128,128,1,6.56
128,256,1,6.13
128,512,1,6.21
128,1024,1,6.30
128,2048,1,10.45
128,4096,1,22.82
128,8192,1,42.51
128,16384,1,88.51
128,32768,1,191.74
128,65536,1,412.59
128,131072,1,957.37
128,262144,1,3454.07
128,524288,1,6538.67
128,1048576,1,12797.26
256,2,1,3.45
256,4,1,3.44
256,8,1,3.36
256,16,1,3.21
256,32,1,3.38
256,64,1,3.63
256,128,1,3.72
256,256,1,3.71
256,512,1,3.83
256,1024,1,4.30
256,2048,1,5.44
256,4096,1,11.71
256,8192,1,25.28
256,16384,1,52.58
256,32768,1,112.25
256,65536,1,235.32
256,131072,1,458.80
256,262144,1,4931.55
256,524288,1,9615.52
