Processes,Size,Algorithm,Latency(us)
2,2,4,0.16
2,4,4,0.15
2,8,4,0.17
2,16,4,0.15
2,32,4,0.16
2,64,4,0.18
2,128,4,0.26
2,256,4,0.27
2,512,4,0.24
2,1024,4,0.28
2,2048,4,0.35
2,4096,4,0.46
2,8192,4,0.54
2,16384,4,0.92
2,32768,4,1.71
2,65536,4,3.22
2,131072,4,5.98
2,262144,4,30.56
2,524288,4,63.82
2,1048576,4,124.56
4,2,4,0.27
4,4,4,0.27
4,8,4,0.27
4,16,4,0.27
4,32,4,0.27
4,64,4,0.27
4,128,4,0.51
4,256,4,0.40
4,512,4,0.41
4,1024,4,0.61
4,2048,4,0.58
4,4096,4,0.77
4,8192,4,0.99
4,16384,4,1.87
4,32768,4,3.57
4,65536,4,6.75
4,131072,4,11.61
4,262144,4,52.75
4,524288,4,98.72
4,1048576,4,900.48
8,2,4,0.63
8,4,4,0.65
8,8,4,0.59
8,16,4,0.65
8,32,4,0.72
8,64,4,0.70
8,128,4,1.17
8,256,4,0.92
8,512,4,1.09
8,1024,4,1.29
8,2048,4,1.75
8,4096,4,2.73
8,8192,4,5.22
8,16384,4,9.36
8,32768,4,18.32
8,65536,4,36.17
8,131072,4,71.89
8,262144,4,150.69
8,524288,4,371.31
8,1048576,4,980.88
16,2,4,0.78
16,4,4,0.78
16,8,4,0.79
16,16,4,0.79
16,32,4,0.93
16,64,4,0.91
16,128,4,1.41
16,256,4,1.26
16,512,4,1.36
16,1024,4,1.77
16,2048,4,2.61
16,4096,4,4.97
16,8192,4,7.81
16,16384,4,15.76
16,32768,4,32.72
16,65536,4,66.24
16,131072,4,133.99
16,262144,4,168.16
16,524288,4,432.27
16,1048576,4,944.62
32,2,4,0.89
32,4,4,0.89
32,8,4,0.90
32,16,4,0.91
32,32,4,1.05
32,64,4,1.04
32,128,4,1.76
32,256,4,1.51
32,512,4,1.70
32,1024,4,2.37
32,2048,4,3.82
32,4096,4,7.55
32,8192,4,13.44
32,16384,4,26.02
32,32768,4,50.26
32,65536,4,97.28
32,131072,4,195.56
32,262144,4,279.79
32,524288,4,660.38
32,1048576,4,1324.64
64,2,4,1.07
64,4,4,1.04
64,8,4,1.07
64,16,4,1.04
64,32,4,1.27
64,64,4,1.21
64,128,4,1.77
64,256,4,1.78
64,512,4,2.03
64,1024,4,2.68
64,2048,4,4.67
64,4096,4,9.98
64,8192,4,22.83
64,16384,4,43.38
64,32768,4,82.72
64,65536,4,161.85
64,131072,4,323.39
64,262144,4,412.56
64,524288,4,890.19
64,1048576,4,1827.15
128,2,4,1.43
128,4,4,1.49
128,8,4,1.46
128,16,4,1.42
128,32,4,1.71
128,64,4,1.72
128,128,4,2.67
128,256,4,2.66
128,512,4,3.36
128,1024,4,4.48
128,2048,4,7.58
128,4096,4,17.25
128,8192,4,41.01
128,16384,4,86.08
128,32768,4,163.64
128,65536,4,328.95
128,131072,4,661.81
128,262144,4,688.39
128,524288,4,1261.32
128,1048576,4,2568.46
256,2,4,4.82
256,4,4,4.51
256,8,4,4.41
256,16,4,5.17
256,32,4,4.98
256,64,4,5.28
256,128,4,5.11
256,256,4,5.03
256,512,4,6.45
256,1024,4,8.90
256,2048,4,11.85
256,4096,4,16.76
256,8192,4,33.28
256,16384,4,60.44
256,32768,4,117.69
256,65536,4,230.55
256,131072,4,537.53
256,262144,4,1561.11
256,524288,4,3881.57
256,1048576,4,8086.84
