Processes,Size,Algorithm,Latency(us)
2,2,2,0.16
4,2,2,0.16
6,2,2,0.34
8,2,2,0.84
10,2,2,1.17
12,2,2,1.08
14,2,2,1.13
16,2,2,1.12
18,2,2,1.80
20,2,2,1.71
22,2,2,1.80
24,2,2,1.84
26,2,2,1.84
28,2,2,1.87
30,2,2,1.85
32,2,2,1.74
34,2,2,2.60
36,2,2,2.77
38,2,2,2.77
40,2,2,2.98
42,2,2,2.73
44,2,2,2.81
46,2,2,3.14
48,2,2,3.09
50,2,2,3.00
52,2,2,3.12
54,2,2,3.23
56,2,2,3.18
58,2,2,3.31
60,2,2,3.50
62,2,2,3.53
64,2,2,3.13
66,2,2,2.97
68,2,2,3.41
70,2,2,3.54
72,2,2,3.68
74,2,2,3.53
76,2,2,4.14
78,2,2,3.99
80,2,2,3.99
82,2,2,4.18
84,2,2,4.59
86,2,2,5.12
88,2,2,5.01
90,2,2,4.82
92,2,2,6.34
94,2,2,5.59
96,2,2,5.65
98,2,2,5.47
100,2,2,5.98
102,2,2,5.53
104,2,2,5.54
106,2,2,5.76
108,2,2,6.07
110,2,2,6.33
112,2,2,7.66
114,2,2,6.33
116,2,2,6.96
118,2,2,6.80
120,2,2,6.75
122,2,2,6.84
124,2,2,7.14
126,2,2,8.24
128,2,2,7.20
130,2,2,6.12
132,2,2,6.30
134,2,2,6.97
136,2,2,6.91
138,2,2,7.52
140,2,2,7.33
142,2,2,8.22
144,2,2,8.45
146,2,2,8.71
148,2,2,9.37
150,2,2,8.87
152,2,2,9.29
154,2,2,8.74
156,2,2,10.34
158,2,2,10.52
160,2,2,17.32
162,2,2,13.20
164,2,2,13.77
166,2,2,12.40
168,2,2,13.88
170,2,2,14.65
172,2,2,11.45
174,2,2,46.26
176,2,2,12.82
178,2,2,11.58
180,2,2,13.13
182,2,2,12.58
184,2,2,12.97
186,2,2,13.11
188,2,2,15.50
190,2,2,12.94
192,2,2,12.61
194,2,2,15.16
196,2,2,16.52
198,2,2,16.11
200,2,2,13.56
202,2,2,14.49
204,2,2,13.37
206,2,2,17.42
208,2,2,14.97
210,2,2,15.02
212,2,2,17.71
214,2,2,16.39
216,2,2,63.78
218,2,2,20.17
220,2,2,17.48
222,2,2,22.01
224,2,2,16.83
226,2,2,16.26
228,2,2,17.69
230,2,2,21.33
232,2,2,22.54
234,2,2,21.26
236,2,2,21.15
238,2,2,21.63
240,2,2,24.98
242,2,2,19.60
244,2,2,21.55
246,2,2,20.96
248,2,2,22.51
250,2,2,29.61
252,2,2,26.94
254,2,2,23.63
256,2,2,6.82
