Processes,Size,Algorithm,Latency(us)
2,2,default,0.16
2,4,default,0.16
2,8,default,0.16
2,16,default,0.16
2,32,default,0.16
2,64,default,0.17
2,128,default,0.20
2,256,default,0.20
2,512,default,0.22
2,1024,default,0.25
2,2048,default,0.29
2,4096,default,0.35
2,8192,default,0.41
2,16384,default,4.84
2,32768,default,4.70
2,65536,default,6.30
2,131072,default,9.87
2,262144,default,19.72
2,524288,default,49.32
2,1048576,default,100.28
4,2,default,0.18
4,4,default,0.18
4,8,default,0.17
4,16,default,0.18
4,32,default,0.19
4,64,default,0.18
4,128,default,0.27
4,256,default,0.30
4,512,default,0.34
4,1024,default,0.38
4,2048,default,0.47
4,4096,default,0.59
4,8192,default,0.78
4,16384,default,7.14
4,32768,default,9.25
4,65536,default,11.85
4,131072,default,20.70
4,262144,default,76.47
4,524288,default,135.07
4,1048576,default,222.20
8,2,default,0.80
8,4,default,0.80
8,8,default,0.81
8,16,default,0.85
8,32,default,0.92
8,64,default,0.77
8,128,default,1.23
8,256,default,1.34
8,512,default,1.34
8,1024,default,1.49
8,2048,default,1.89
8,4096,default,3.03
8,8192,default,4.62
8,16384,default,10.96
8,32768,default,21.19
8,65536,default,33.11
8,131072,default,54.91
8,262144,default,149.06
8,524288,default,341.26
8,1048576,default,718.78
16,2,default,1.11
16,4,default,1.13
16,8,default,1.14
16,16,default,1.14
16,32,default,1.24
16,64,default,1.51
16,128,default,1.89
16,256,default,1.92
16,512,default,1.90
16,1024,default,2.28
16,2048,default,3.00
16,4096,default,5.32
16,8192,default,11.36
16,16384,default,16.94
16,32768,default,31.24
16,65536,default,58.08
16,131072,default,120.06
16,262144,default,240.42
16,524288,default,465.61
16,1048576,default,1460.18
32,2,default,1.56
32,4,default,1.81
32,8,default,1.48
32,16,default,1.70
32,32,default,1.65
32,64,default,1.74
32,128,default,2.52
32,256,default,2.52
32,512,default,2.62
32,1024,default,3.17
32,2048,default,4.00
32,4096,default,5.61
32,8192,default,8.59
32,16384,default,15.12
32,32768,default,27.10
32,65536,default,50.69
32,131072,default,94.47
32,262144,default,229.32
32,524288,default,511.96
32,1048576,default,859.62
64,2,default,1.92
64,4,default,1.83
64,8,default,1.97
64,16,default,1.46
64,32,default,1.93
64,64,default,1.93
64,128,default,2.81
64,256,default,2.83
64,512,default,2.92
64,1024,default,3.56
64,2048,default,4.83
64,4096,default,6.75
64,8192,default,11.01
64,16384,default,18.25
64,32768,default,33.83
64,65536,default,71.49
64,131072,default,151.21
64,262144,default,317.78
64,524288,default,652.44
64,1048576,default,1067.33
128,2,default,4.19
128,4,default,3.73
128,8,default,3.77
128,16,default,3.76
128,32,default,4.00
128,64,default,3.96
128,128,default,5.86
128,256,default,6.12
128,512,default,6.04
128,1024,default,6.59
128,2048,default,10.01
128,4096,default,18.05
128,8192,default,35.24
128,16384,default,108.50
128,32768,default,159.72
128,65536,default,109.45
128,131072,default,243.54
128,262144,default,507.89
128,524288,default,1103.90
128,1048576,default,1632.34
256,2,default,1.05
256,4,default,1.14
256,8,default,1.16
256,16,default,1.24
256,32,default,1.58
256,64,default,1.64
256,128,default,2.72
256,256,default,2.76
256,512,default,4.83
256,1024,default,5.46
256,2048,default,7.37
256,4096,default,10.33
256,8192,default,16.59
256,16384,default,68.01
256,32768,default,46.07
256,65536,default,84.70
256,131072,default,197.57
256,262144,default,418.45
256,524288,default,931.83
256,1048576,default,1590.12
