Processes,Size,Algorithm,Latency(us)
2,2,5,0.16
4,2,5,0.25
6,2,5,0.38
8,2,5,0.50
10,2,5,0.44
12,2,5,0.44
14,2,5,0.47
16,2,5,0.56
18,2,5,0.57
20,2,5,0.54
22,2,5,0.51
24,2,5,0.54
26,2,5,0.53
28,2,5,0.54
30,2,5,0.52
32,2,5,0.64
34,2,5,0.62
36,2,5,0.58
38,2,5,0.58
40,2,5,0.61
42,2,5,0.59
44,2,5,0.60
46,2,5,0.59
48,2,5,0.61
50,2,5,0.59
52,2,5,0.57
54,2,5,0.62
56,2,5,0.61
58,2,5,0.59
60,2,5,0.59
62,2,5,0.59
64,2,5,0.73
66,2,5,0.68
68,2,5,0.69
70,2,5,0.67
72,2,5,0.74
74,2,5,0.71
76,2,5,0.76
78,2,5,0.71
80,2,5,0.80
82,2,5,0.74
84,2,5,0.77
86,2,5,0.74
88,2,5,0.79
90,2,5,0.75
92,2,5,0.78
94,2,5,1.04
96,2,5,1.19
98,2,5,0.79
100,2,5,0.98
102,2,5,0.81
104,2,5,0.83
106,2,5,0.80
108,2,5,0.82
110,2,5,0.80
112,2,5,0.83
114,2,5,1.27
116,2,5,0.82
118,2,5,0.93
120,2,5,0.84
122,2,5,0.84
124,2,5,0.83
126,2,5,0.85
128,2,5,0.89
130,2,5,0.70
132,2,5,0.86
134,2,5,0.79
136,2,5,0.93
138,2,5,0.97
140,2,5,1.19
142,2,5,0.93
144,2,5,1.08
146,2,5,1.43
148,2,5,1.22
150,2,5,1.23
152,2,5,1.58
154,2,5,1.37
156,2,5,1.60
158,2,5,1.47
160,2,5,1.55
162,2,5,2.32
164,2,5,2.25
166,2,5,2.26
168,2,5,2.14
170,2,5,2.24
172,2,5,2.55
174,2,5,2.03
176,2,5,2.71
178,2,5,2.17
180,2,5,2.91
182,2,5,2.43
184,2,5,2.52
186,2,5,2.56
188,2,5,3.31
190,2,5,2.31
192,2,5,3.16
194,2,5,2.50
196,2,5,2.92
198,2,5,3.04
200,2,5,3.08
202,2,5,3.31
204,2,5,3.34
206,2,5,2.87
208,2,5,3.66
210,2,5,3.00
212,2,5,2.75
214,2,5,2.36
216,2,5,3.44
218,2,5,3.34
220,2,5,4.41
222,2,5,2.79
224,2,5,3.24
226,2,5,2.92
228,2,5,3.29
230,2,5,3.35
232,2,5,3.21
234,2,5,2.64
236,2,5,3.03
238,2,5,2.31
240,2,5,3.62
242,2,5,2.54
244,2,5,2.79
246,2,5,2.71
248,2,5,3.04
250,2,5,2.49
252,2,5,2.39
254,2,5,2.18
256,2,5,0.65
