Processes,Size,Algorithm,Latency(us)
2,2,default,0.39
2,4,default,0.39
2,8,default,0.15
2,16,default,0.15
2,32,default,0.14
2,64,default,0.14
2,128,default,0.19
2,256,default,0.19
2,512,default,0.22
2,1024,default,0.25
2,2048,default,0.30
2,4096,default,0.36
2,8192,default,0.48
2,16384,default,0.86
2,32768,default,1.67
2,65536,default,3.07
2,131072,default,5.72
2,262144,default,31.68
2,524288,default,57.69
2,1048576,default,114.28
4,2,default,0.27
4,4,default,0.26
4,8,default,0.27
4,16,default,0.25
4,32,default,0.27
4,64,default,0.27
4,128,default,0.35
4,256,default,0.38
4,512,default,0.39
4,1024,default,0.43
4,2048,default,0.56
4,4096,default,1.06
4,8192,default,1.55
4,16384,default,2.89
4,32768,default,5.15
4,65536,default,5.54
4,131072,default,10.63
4,262144,default,64.95
4,524288,default,300.61
4,1048576,default,294.58
8,2,default,0.65
8,4,default,0.64
8,8,default,0.59
8,16,default,0.65
8,32,default,0.74
8,64,default,0.69
8,128,default,0.95
8,256,default,0.97
8,512,default,1.05
8,1024,default,1.24
8,2048,default,1.66
8,4096,default,3.01
8,8192,default,1.69
8,16384,default,2.97
8,32768,default,5.36
8,65536,default,9.79
8,131072,default,18.03
8,262144,default,82.00
8,524288,default,295.92
8,1048576,default,1360.14
16,2,default,0.79
16,4,default,0.77
16,8,default,0.77
16,16,default,0.77
16,32,default,0.91
16,64,default,0.90
16,128,default,1.18
16,256,default,1.22
16,512,default,1.34
16,1024,default,1.69
16,2048,default,2.46
16,4096,default,1.40
16,8192,default,1.94
16,16384,default,3.59
16,32768,default,6.76
16,65536,default,12.94
16,131072,default,24.52
16,262144,default,118.49
16,524288,default,354.76
16,1048576,default,826.13
32,2,default,0.61
32,4,default,0.63
32,8,default,0.72
32,16,default,0.65
32,32,default,0.74
32,64,default,0.68
32,128,default,0.82
32,256,default,0.82
32,512,default,0.84
32,1024,default,0.96
32,2048,default,1.19
32,4096,default,1.49
32,8192,default,2.23
32,16384,default,3.83
32,32768,default,7.38
32,65536,default,14.22
32,131072,default,29.87
32,262144,default,130.50
32,524288,default,389.63
32,1048576,default,872.76
64,2,default,0.79
64,4,default,0.82
64,8,default,0.78
64,16,default,0.72
64,32,default,0.80
64,64,default,0.79
64,128,default,1.02
64,256,default,1.01
64,512,default,1.04
64,1024,default,1.09
64,2048,default,1.36
64,4096,default,1.71
64,8192,default,2.52
64,16384,default,4.50
64,32768,default,8.44
64,65536,default,49.65
64,131072,default,32.15
64,262144,default,148.95
64,524288,default,418.04
64,1048576,default,933.00
128,2,default,1.07
128,4,default,1.22
128,8,default,0.97
128,16,default,0.91
128,32,default,1.10
128,64,default,1.07
128,128,default,1.42
128,256,default,1.21
128,512,default,1.25
128,1024,default,1.29
128,2048,default,1.73
128,4096,default,1.92
128,8192,default,2.79
128,16384,default,5.51
128,32768,default,8.79
128,65536,default,16.67
128,131072,default,33.64
128,262144,default,151.02
128,524288,default,473.25
128,1048576,default,934.30
256,2,default,0.74
256,4,default,0.64
256,8,default,0.64
256,16,default,0.63
256,32,default,0.66
256,64,default,0.69
256,128,default,0.85
256,256,default,0.86
256,512,default,0.91
256,1024,default,1.00
256,2048,default,1.25
256,4096,default,1.67
256,8192,default,5.38
256,16384,default,4.47
256,32768,default,8.47
256,65536,default,16.25
256,131072,default,32.80
256,262144,default,154.12
256,524288,default,467.70
256,1048576,default,950.42
