MPI_Processes,Size,ComputeTime,IOTime,TotalTime
1,10000,37.079211,,37.163374
2,10000,18.547838,,19.753271
3,10000,29.414792,,30.684303
4,10000,17.638585,,18.655151
5,10000,20.342012,,21.637300
6,10000,14.723395,,15.732345
7,10000,15.381430,,16.555385
8,10000,12.043898,,12.160088
9,10000,12.193588,,13.266174
10,10000,10.160146,,11.233284
11,10000,10.065091,,11.253985
12,10000,8.830623,,10.621071
13,10000,8.564467,,9.916468
14,10000,7.694892,,8.995726
15,10000,7.472050,,7.762271
16,10000,6.811158,,8.525287
17,10000,6.613169,,7.934619
18,10000,6.111258,,6.387355
19,10000,5.943721,,7.221094
20,10000,5.519808,,7.057613
21,10000,5.396844,,6.681553
22,10000,5.046493,,6.350303
23,10000,4.953122,,5.334083
24,10000,4.639980,,5.018794
25,10000,4.567992,,5.680570
26,10000,4.299142,,5.764349
27,10000,4.233702,,5.578346
28,10000,3.994695,,5.451230
29,10000,3.952734,,4.334787
30,10000,3.740867,,4.204729
31,10000,3.703287,,3.992856
32,10000,3.528813,,3.836753
33,10000,3.478530,,3.676777
34,10000,3.314276,,4.619155
35,10000,3.286693,,3.608509
36,10000,3.143044,,3.368850
37,10000,3.104891,,4.507755
38,10000,2.981084,,4.372902
39,10000,2.945452,,4.483822
40,10000,2.838396,,4.396239
41,10000,2.809910,,4.394733
42,10000,2.708059,,4.134829
43,10000,2.684713,,4.224517
44,10000,2.591840,,3.876674
45,10000,2.561235,,4.371731
46,10000,2.486361,,3.911971
47,10000,2.458292,,3.933936
48,10000,2.385777,,3.854666
49,10000,2.355298,,3.826772
50,10000,2.293646,,4.479658
51,10000,2.266738,,3.982493
52,10000,2.214488,,3.868046
53,10000,2.195826,,3.689573
54,10000,2.141514,,3.952100
55,10000,2.124800,,3.636545
56,10000,2.090703,,3.623075
57,10000,2.058671,,4.267163
58,10000,2.025306,,3.684367
59,10000,2.003370,,3.583872
60,10000,1.978903,,3.645537
61,10000,1.959074,,3.754425
62,10000,1.922635,,3.753964
63,10000,1.911274,,4.013688
64,10000,1.873540,,3.722694
65,10000,1.858189,,3.588794
66,10000,1.825752,,3.674188
67,10000,1.793588,,3.418034
68,10000,1.761511,,3.312761
69,10000,1.747649,,3.431194
70,10000,1.714216,,3.504696
71,10000,1.701330,,3.490682
72,10000,1.666508,,3.353543
73,10000,1.650558,,3.884267
74,10000,1.619278,,4.758429
75,10000,1.603149,,3.288028
76,10000,1.585453,,4.510478
77,10000,1.568835,,4.673778
78,10000,1.535439,,4.552879
79,10000,1.531781,,4.234405
80,10000,1.497489,,2.322621
81,10000,1.482194,,4.009737
82,10000,1.461683,,3.841525
83,10000,1.448129,,4.024671
84,10000,1.424930,,3.651439
85,10000,1.422541,,3.888728
86,10000,1.392911,,4.122098
87,10000,1.387123,,3.871791
88,10000,1.368734,,2.340639
89,10000,1.349382,,4.003809
90,10000,1.329076,,3.643651
91,10000,1.326299,,3.723929
92,10000,1.308294,,3.359460
93,10000,1.300774,,3.708472
94,10000,1.274199,,1.774642
95,10000,1.265788,,3.816822
96,10000,1.246740,,3.304122
97,10000,1.243256,,3.242889
98,10000,1.221679,,3.295420
99,10000,1.219669,,3.248832
100,10000,1.197229,,3.489394
101,10000,1.195076,,3.462764
102,10000,1.173671,,1.817164
103,10000,1.170331,,3.319880
104,10000,1.150162,,3.464709
105,10000,1.146321,,3.509131
106,10000,1.130669,,2.467294
107,10000,1.119084,,1.917274
108,10000,1.119314,,3.546809
109,10000,1.109569,,3.465615
110,10000,1.092571,,3.772291
111,10000,1.087630,,1.852842
112,10000,1.071386,,3.691044
113,10000,1.059999,,3.569649
114,10000,1.059129,,3.842742
115,10000,1.053350,,1.755323
116,10000,1.035284,,1.916145
117,10000,1.024880,,3.545384
118,10000,1.024923,,3.389938
119,10000,1.017602,,1.794160
120,10000,1.002605,,3.673104
121,10000,1.004465,,3.615928
122,10000,0.987091,,3.471885
123,10000,0.982315,,1.667177
124,10000,0.980768,,3.335585
125,10000,0.972389,,3.797766
126,10000,0.958268,,1.810278
127,10000,0.959324,,3.881225
128,10000,0.946577,,3.382256
129,10000,0.953360,,3.733784
130,10000,0.939897,,3.830084
131,10000,0.930712,,3.498683
132,10000,0.931091,,3.733024
