
threads,width,height,compute_time,io_time,total_time
2,5000,5000,6.850243,0.030417,6.880662
3,5000,5000,4.564021,0.013688,4.577711
4,5000,5000,3.423589,0.013224,3.436813
5,5000,5000,2.742332,0.012166,2.754500
6,5000,5000,2.285271,0.012447,2.297720
7,5000,5000,1.958925,0.012487,1.971414
8,5000,5000,1.714711,0.012571,1.727284
9,5000,5000,1.525919,0.012711,1.538631
10,5000,5000,1.373164,0.013146,1.386312
11,5000,5000,1.248693,0.022054,1.270749
12,5000,5000,1.144183,0.013300,1.157484
13,5000,5000,1.055791,0.013478,1.069269
14,5000,5000,0.981232,0.014551,0.995783
15,5000,5000,0.914782,0.013942,0.928725
16,5000,5000,0.858080,0.014319,0.872400
17,5000,5000,0.807606,0.010714,0.818320
18,5000,5000,0.762819,0.010699,0.773518
19,5000,5000,0.722977,0.010901,0.733878
20,5000,5000,0.686989,0.010722,0.697712
21,5000,5000,0.654460,0.010652,0.665112
22,5000,5000,0.624812,0.010497,0.635310
23,5000,5000,0.598447,0.011496,0.609943
24,5000,5000,0.573128,0.010884,0.584013
25,5000,5000,0.550452,0.010738,0.561191
26,5000,5000,0.529505,0.010595,0.540100
27,5000,5000,0.509993,0.010453,0.520447
28,5000,5000,0.491796,0.010737,0.502533
29,5000,5000,0.475042,0.010332,0.485374
30,5000,5000,0.459176,0.010498,0.469673
31,5000,5000,0.444579,0.010737,0.455316
32,5000,5000,0.430761,0.010509,0.441271
33,5000,5000,0.417836,0.010444,0.428280
34,5000,5000,0.407322,0.010597,0.417919
35,5000,5000,0.394252,0.010678,0.404930
36,5000,5000,0.383328,0.010519,0.393847
37,5000,5000,0.373082,0.010718,0.383800
38,5000,5000,0.363381,0.013343,0.376724
39,5000,5000,0.354345,0.010767,0.365112
40,5000,5000,0.345505,0.010728,0.356234
41,5000,5000,0.337117,0.010607,0.347724
42,5000,5000,0.329407,0.010886,0.340293
43,5000,5000,0.321705,0.010655,0.332360
44,5000,5000,0.314545,0.010769,0.325315
45,5000,5000,0.307484,0.010542,0.318026
46,5000,5000,0.301105,0.011102,0.312208
47,5000,5000,0.294877,0.010550,0.305428
48,5000,5000,0.288774,0.010884,0.299658
49,5000,5000,0.283352,0.010446,0.293798
50,5000,5000,0.277869,0.011491,0.289360
51,5000,5000,0.272287,0.011040,0.283328
52,5000,5000,0.266925,0.010932,0.277857
53,5000,5000,0.262053,0.010809,0.272862
54,5000,5000,0.257304,0.010837,0.268141
55,5000,5000,0.252987,0.010863,0.263850
56,5000,5000,0.248487,0.010791,0.259278
57,5000,5000,0.244299,0.010940,0.255239
58,5000,5000,0.240180,0.011159,0.251339
59,5000,5000,0.236176,0.010775,0.246951
60,5000,5000,0.232273,0.011061,0.243333
61,5000,5000,0.228778,0.011092,0.239869
62,5000,5000,0.225264,0.010977,0.236242
63,5000,5000,0.221754,0.010811,0.232565
64,5000,5000,0.218388,0.010545,0.228933
65,5000,5000,0.215194,0.011804,0.226998
66,5000,5000,0.211838,0.011030,0.222868
67,5000,5000,0.208692,0.011051,0.219744
68,5000,5000,0.205822,0.011514,0.217337
69,5000,5000,0.202744,0.011082,0.213827
70,5000,5000,0.200040,0.011337,0.211377
71,5000,5000,0.197383,0.011511,0.208894
72,5000,5000,0.194520,0.011160,0.205681
73,5000,5000,0.191840,0.011329,0.203168
74,5000,5000,0.189427,0.011520,0.200947
75,5000,5000,0.187026,0.011721,0.198747
76,5000,5000,0.193254,0.038519,0.231773
77,5000,5000,0.182369,0.011894,0.194264
78,5000,5000,0.180097,0.012443,0.192540
79,5000,5000,0.177899,0.012223,0.190121
80,5000,5000,0.175572,0.012502,0.188075
81,5000,5000,0.173779,0.011740,0.185519
82,5000,5000,0.171809,0.011757,0.183566
83,5000,5000,0.169693,0.012461,0.182154
84,5000,5000,0.167738,0.011838,0.179576
85,5000,5000,0.166090,0.011903,0.177992
86,5000,5000,0.163887,0.012211,0.176098
87,5000,5000,0.162328,0.012406,0.174734
88,5000,5000,0.160509,0.013560,0.174069
89,5000,5000,0.158909,0.012823,0.171732
90,5000,5000,0.157089,0.011995,0.169084
91,5000,5000,0.156005,0.012250,0.168255
92,5000,5000,0.153910,0.012514,0.166424
93,5000,5000,0.152442,0.012020,0.164462
94,5000,5000,0.150865,0.012285,0.163150
95,5000,5000,0.149372,0.012190,0.161562
96,5000,5000,0.147800,0.011935,0.159735
97,5000,5000,0.146339,0.011955,0.158295
98,5000,5000,0.145434,0.013188,0.158622
99,5000,5000,0.143799,0.012828,0.156626
100,5000,5000,0.142249,0.012623,0.154872
101,5000,5000,0.141117,0.012431,0.153548
102,5000,5000,0.139871,0.012125,0.151997
103,5000,5000,0.138570,0.012413,0.150982
104,5000,5000,0.137380,0.012517,0.149897
105,5000,5000,0.136276,0.014019,0.150295
106,5000,5000,0.134991,0.013294,0.148284
107,5000,5000,0.133598,0.012727,0.146325
108,5000,5000,0.132695,0.015706,0.148401
109,5000,5000,0.131429,0.013590,0.145019
110,5000,5000,0.130437,0.013285,0.143722
111,5000,5000,0.129408,0.014757,0.144165
112,5000,5000,0.128690,0.014021,0.142711
113,5000,5000,0.127101,0.012448,0.139549
114,5000,5000,0.126220,0.013277,0.139497
115,5000,5000,0.125029,0.015265,0.140294
116,5000,5000,0.124408,0.013348,0.137756
117,5000,5000,0.123047,0.013422,0.136469
118,5000,5000,0.121959,0.015202,0.137161
119,5000,5000,0.121361,0.012894,0.134256
120,5000,5000,0.120307,0.013548,0.133855
121,5000,5000,0.119441,0.013463,0.132905
122,5000,5000,0.118624,0.012635,0.131259
123,5000,5000,0.117603,0.012818,0.130420
124,5000,5000,0.116847,0.013103,0.129950
125,5000,5000,0.116705,0.014200,0.130905
126,5000,5000,0.115134,0.012888,0.128022
127,5000,5000,0.114588,0.012849,0.127440
128,5000,5000,0.113908,0.016247,0.130155
