threads,width,height,compute_time,io_time,total_time
1,10000,10000,54.797499,0.088280,54.885781
2,10000,10000,27.376963,0.037918,27.414882
3,10000,10000,18.253147,0.067377,18.320526
4,10000,10000,13.693755,1.525930,15.219687
5,10000,10000,10.958076,1.793120,12.751202
6,10000,10000,9.128934,1.331262,10.460198
7,10000,10000,7.829242,0.118521,7.947765
8,10000,10000,6.846049,0.042481,6.888532
9,10000,10000,6.091336,0.043018,6.134356
10,10000,10000,5.479230,0.045251,5.524483
11,10000,10000,4.981036,0.067652,5.048689
12,10000,10000,4.566132,0.047623,4.613757
13,10000,10000,4.215901,0.044130,4.260033
14,10000,10000,3.915946,0.045466,3.961418
15,10000,10000,3.655220,0.045638,3.700859
16,10000,10000,3.428232,0.045344,3.473578
17,10000,10000,3.227561,0.049465,3.277027
18,10000,10000,3.048550,0.053712,3.102263
19,10000,10000,2.900860,0.056562,2.957423
20,10000,10000,2.744315,0.042658,2.786975
21,10000,10000,2.612719,0.044283,2.657003
22,10000,10000,2.494121,0.044559,2.538682
23,10000,10000,2.386575,0.046233,2.432809
24,10000,10000,2.286466,0.046751,2.333219
25,10000,10000,2.195833,0.048462,2.244297
26,10000,10000,2.111862,0.048713,2.160576
27,10000,10000,2.034021,0.059458,2.093481
28,10000,10000,1.960976,0.058276,2.019253
29,10000,10000,1.894195,0.196610,2.090806
30,10000,10000,1.830401,0.051199,1.881601
31,10000,10000,1.771683,0.047043,1.818726
32,10000,10000,1.716746,0.040150,1.756896
33,10000,10000,1.665322,0.031355,1.696677
34,10000,10000,1.616135,0.044264,1.660400
35,10000,10000,1.570557,0.030285,1.600842
36,10000,10000,1.527284,0.036129,1.563414
37,10000,10000,1.486427,0.029750,1.516177
38,10000,10000,1.447140,0.030603,1.477744
39,10000,10000,1.410142,0.029573,1.439714
40,10000,10000,1.375508,0.029993,1.405501
41,10000,10000,1.342566,0.029668,1.372235
42,10000,10000,1.310557,0.029658,1.340215
43,10000,10000,1.280351,0.029907,1.310258
44,10000,10000,1.257989,0.043365,1.301355
45,10000,10000,1.225457,0.029718,1.255176
46,10000,10000,1.197795,0.029174,1.226969
47,10000,10000,1.172526,0.029852,1.202378
48,10000,10000,1.148520,0.029310,1.177830
49,10000,10000,1.125307,0.029732,1.155039
50,10000,10000,1.103286,0.029713,1.133000
51,10000,10000,1.082043,0.029845,1.111888
52,10000,10000,1.061853,0.030118,1.091971
53,10000,10000,1.041701,0.031592,1.073293
54,10000,10000,1.022403,0.030141,1.052545
55,10000,10000,1.003963,0.029623,1.033586
56,10000,10000,0.986827,0.029318,1.016146
57,10000,10000,0.969679,0.029072,0.998751
58,10000,10000,0.953354,0.029653,0.983007
59,10000,10000,0.937422,0.029886,0.967309
60,10000,10000,0.922165,0.029164,0.951329
61,10000,10000,0.907488,0.029416,0.936904
62,10000,10000,0.892883,0.029872,0.922755
63,10000,10000,0.879104,0.029762,0.908866
64,10000,10000,0.865784,0.034288,0.900073
65,10000,10000,0.852731,0.029929,0.882660
66,10000,10000,0.839749,0.030250,0.869999
67,10000,10000,0.826944,0.029930,0.856873
68,10000,10000,0.814706,0.032162,0.846869
69,10000,10000,0.803035,0.031376,0.834412
70,10000,10000,0.791672,0.032072,0.823745
71,10000,10000,0.780682,0.030860,0.811542
72,10000,10000,0.769822,0.031491,0.801314
73,10000,10000,0.759333,0.031505,0.790839
74,10000,10000,0.749036,0.031156,0.780193
75,10000,10000,0.739159,0.031101,0.770260
76,10000,10000,0.729341,0.031547,0.760889
77,10000,10000,0.720266,0.031469,0.751736
78,10000,10000,0.710776,0.031817,0.742593
79,10000,10000,0.702113,0.031802,0.733916
80,10000,10000,0.693287,0.032124,0.725411
81,10000,10000,0.684987,0.032818,0.717806
82,10000,10000,0.676391,0.032201,0.708593
83,10000,10000,0.668527,0.032856,0.701383
84,10000,10000,0.660562,0.032390,0.692952
85,10000,10000,0.675056,0.036028,0.711084
86,10000,10000,0.645569,0.032501,0.678071
87,10000,10000,0.639019,0.032422,0.671442
88,10000,10000,0.632281,0.043613,0.675896
89,10000,10000,0.624227,0.032579,0.656806
90,10000,10000,0.617405,0.032728,0.650133
91,10000,10000,0.610500,0.033074,0.643574
92,10000,10000,0.603880,0.033512,0.637392
93,10000,10000,0.597376,0.032763,0.630138
94,10000,10000,0.591335,0.032913,0.624249
95,10000,10000,0.585601,0.034152,0.619753
96,10000,10000,0.579200,0.033137,0.612337
97,10000,10000,0.573721,0.033986,0.607708
98,10000,10000,0.567521,0.033150,0.600671
99,10000,10000,0.561782,0.033373,0.595154
100,10000,10000,0.556623,0.033269,0.589892
101,10000,10000,0.551215,0.033075,0.584297
102,10000,10000,0.545682,0.033727,0.579409
103,10000,10000,0.540310,0.034338,0.574649
104,10000,10000,0.535497,0.033855,0.569353
105,10000,10000,0.530547,0.035620,0.566167
106,10000,10000,0.525679,0.036604,0.562284
107,10000,10000,0.520904,0.035002,0.555906
108,10000,10000,0.516114,0.033550,0.549665
