threads,width,height,compute_time,io_time,total_time
1,1000,1000,0.550073,0.021731,0.571804
2,1414,1414,0.550050,0.015325,0.565375
3,1732,1732,0.550050,0.019954,0.570003
4,2000,2000,0.548624,0.061773,0.610397
5,2236,2236,0.549839,0.028147,0.577986
6,2449,2449,0.549028,0.024174,0.573202
7,2645,2645,0.548891,0.015617,0.564508
8,2828,2828,0.549008,0.011693,0.560702
9,3000,3000,0.549138,0.021580,0.570718
10,3162,3162,0.549220,0.029679,0.578899
11,3316,3316,0.549130,0.021419,0.570548
12,3464,3464,0.549725,0.025577,0.575303
13,3605,3605,0.549331,0.012856,0.562187
14,3741,3741,0.549448,0.019485,0.568933
15,3872,3872,0.549389,0.017978,0.567368
16,4000,4000,0.549467,0.018816,0.568283
17,4123,4123,0.549678,0.068579,0.618257
18,4242,4242,0.550074,0.029648,0.579721
19,4358,4358,0.549726,0.039258,0.588984
20,4472,4472,0.549968,0.032740,0.582708
21,4582,4582,0.550152,0.044285,0.594437
22,4690,4690,0.550242,0.070426,0.620668
23,4795,4795,0.550169,0.017780,0.567949
24,4898,4898,0.550011,0.039687,0.589698
25,5000,5000,0.550336,0.010872,0.561208
26,5099,5099,0.550208,0.011413,0.561620
27,5196,5196,0.550316,0.011887,0.562203
28,5291,5291,0.550287,0.011990,0.562278
29,5385,5385,0.550340,0.011653,0.561993
30,5477,5477,0.550432,0.012136,0.562568
31,5567,5567,0.550293,0.011766,0.562059
32,5656,5656,0.550617,0.012620,0.563237
33,5744,5744,0.550873,0.030545,0.581418
34,5830,5830,0.550956,0.012952,0.563908
35,5916,5916,0.551274,0.013591,0.564865
36,6000,6000,0.551050,0.013750,0.564800
37,6082,6082,0.551126,0.014047,0.565174
38,6164,6164,0.551051,0.014411,0.565462
39,6244,6244,0.551307,0.014832,0.566138
40,6324,6324,0.551890,0.014931,0.566821
41,6403,6403,0.552474,0.015372,0.567846
42,6480,6480,0.551739,0.015389,0.567128
43,6557,6557,0.551913,0.015967,0.567880
44,6633,6633,0.551787,0.015890,0.567677
45,6708,6708,0.552014,0.016072,0.568086
46,6782,6782,0.551851,0.016489,0.568340
47,6855,6855,0.551973,0.016942,0.568915
48,6928,6928,0.552073,0.017133,0.569205
49,7000,7000,0.552419,0.017509,0.569928
50,7071,7071,0.552546,0.031436,0.583981
51,7141,7141,0.552524,0.017866,0.570389
52,7211,7211,0.552826,0.017892,0.570719
53,7280,7280,0.553074,0.018434,0.571508
54,7348,7348,0.552863,0.018912,0.571775
55,7416,7416,0.553122,0.018993,0.572115
56,7483,7483,0.553263,0.019356,0.572619
57,7549,7549,0.553515,0.019767,0.573282
58,7615,7615,0.553447,0.019983,0.573430
59,7681,7681,0.553546,0.020331,0.573877
60,7745,7745,0.553726,0.020887,0.574613
61,7810,7810,0.554100,0.021263,0.575364
62,7874,7874,0.554245,0.020948,0.575194
63,7937,7937,0.554346,0.021434,0.575780
64,8000,8000,0.554754,0.021616,0.576371
65,8062,8062,0.555149,0.035863,0.591012
66,8124,8124,0.554865,0.022593,0.577457
67,8185,8185,0.554683,0.044394,0.599077
68,8246,8246,0.554430,0.023536,0.577966
69,8306,8306,0.554424,0.024201,0.578625
70,8366,8366,0.554541,0.029027,0.583568
71,8426,8426,0.554475,0.024864,0.579339
72,8485,8485,0.554605,0.024928,0.579533
73,8544,8544,0.554605,0.025748,0.580353
74,8602,8602,0.554186,0.025354,0.579540
75,8660,8660,0.554821,0.025926,0.580747
76,8717,8717,0.554807,0.026178,0.580985
77,8774,8774,0.554466,0.027016,0.581482
78,8831,8831,0.554545,0.027157,0.581702
79,8888,8888,0.554641,0.027720,0.582361
80,8944,8944,0.554792,0.028273,0.583065
81,9000,9000,0.555116,0.028249,0.583366
82,9055,9055,0.554599,0.049515,0.604115
83,9110,9110,0.555021,0.028964,0.583985
84,9165,9165,0.554809,0.029763,0.584573
85,9219,9219,0.555216,0.029814,0.585031
86,9273,9273,0.554614,0.030687,0.585301
87,9327,9327,0.554673,0.030316,0.584989
88,9380,9380,0.554987,0.031145,0.586132
89,9433,9433,0.555183,0.031649,0.586832
90,9486,9486,0.555195,0.031817,0.587012
91,9539,9539,0.555153,0.032436,0.587589
92,9591,9591,0.555089,0.032398,0.587489
93,9643,9643,0.555099,0.032915,0.588015
94,9695,9695,0.555416,0.032990,0.588406
95,9746,9746,0.555252,0.033286,0.588538
96,9797,9797,0.555395,0.033303,0.588698
97,9848,9848,0.555530,0.033355,0.588885
98,9899,9899,0.556348,0.034076,0.590425
99,9949,9949,0.555595,0.051370,0.606964
100,10000,10000,0.555571,0.034379,0.589951
101,10049,10049,0.556165,0.038005,0.594170
102,10099,10099,0.555763,0.035451,0.591214
103,10148,10148,0.555570,0.035497,0.591066
104,10198,10198,0.556062,0.036141,0.592204
105,10246,10246,0.555784,0.036359,0.592144
106,10295,10295,0.555932,0.039502,0.595435
107,10344,10344,0.556105,0.038385,0.594490
108,10392,10392,0.556014,0.038472,0.594486
109,10440,10440,0.556126,0.037106,0.593232
110,10488,10488,0.556335,0.039453,0.595790
111,10535,10535,0.556122,0.041931,0.598054
112,10583,10583,0.556518,0.038100,0.594620
113,10630,10630,0.556540,0.040459,0.596999
114,10677,10677,0.556767,0.040876,0.597643
115,10723,10723,0.556796,0.041570,0.598366
116,10770,10770,0.557052,0.054319,0.611373
117,10816,10816,0.556545,0.039555,0.596102
118,10862,10862,0.556588,0.043295,0.599885
119,10908,10908,0.556781,0.040123,0.596905
120,10954,10954,0.556663,0.043919,0.600583
121,11000,11000,0.556925,0.041652,0.598577
122,11045,11045,0.556854,0.042405,0.599259
123,11090,11090,0.557310,0.044170,0.601481
124,11135,11135,0.557520,0.044035,0.601556
125,11180,11180,0.557722,0.041932,0.599654
126,11224,11224,0.557081,0.045026,0.602108
127,11269,11269,0.557428,0.045758,0.603186
128,11313,11313,0.557433,0.057120,0.614553
